Location,Date,WindDir9am,WindSpeed9am,WindGustDir,WindGustSpeed,WindSpeed3pm,Humidity9am,Pressure9am,Cloud9am,Temp9am
AliceSprings,2009-03-15,SE,24.0,ESE,43.0,22.0,30.0,1015.8,2.0,26.2
AliceSprings,2009-03-16,ESE,24.0,SE,48.0,24.0,25.0,1016.5,0.0,22.3
AliceSprings,2009-03-17,E,17.0,SSE,41.0,26.0,27.0,1015.1,0.0,22.7
AliceSprings,2009-03-18,E,13.0,SSE,30.0,11.0,27.0,1013.5,0.0,24.0
AliceSprings,2009-03-19,ENE,2.0,ESE,41.0,26.0,22.0,1013.2,0.0,25.9
AliceSprings,2009-03-20,ESE,0.0,ESE,35.0,19.0,14.0,1012.9,1.0,26.7
AliceSprings,2009-03-21,NE,15.0,E,39.0,22.0,17.0,1011.9,1.0,30.6
AliceSprings,2009-03-22,ENE,7.0,ESE,39.0,15.0,13.0,1011.5,1.0,29.9
AliceSprings,2009-03-23,SE,11.0,NNE,44.0,24.0,18.0,1012.6,4.0,27.5
AliceSprings,2009-03-24,S,28.0,S,43.0,9.0,22.0,1012.9,1.0,30.5
AliceSprings,2009-03-25,N,24.0,S,65.5,9.0,22.0,1013.0,1.0,31.7
AliceSprings,2009-03-26,S,2.0,SE,50.0,9.0,24.0,1017.1,0.0,28.7
AliceSprings,2009-03-27,SE,20.0,ESE,39.0,22.0,29.0,1019.3,1.0,26.5
AliceSprings,2009-03-28,E,19.0,ESE,37.0,26.0,26.0,1017.2,0.0,27.0
AliceSprings,2009-03-29,E,11.0,ESE,41.0,9.0,20.0,1014.5,0.0,27.4
AliceSprings,2009-03-30,ESE,0.0,S,35.0,11.0,17.0,1013.5,0.0,27.3
AliceSprings,2009-03-31,ENE,13.0,ENE,31.0,17.0,13.0,1014.0,0.0,28.2
AliceSprings,2009-04-01,NE,7.0,SW,37.0,15.0,17.0,1014.8,2.948453608247423,26.9
AliceSprings,2009-04-02,ENE,9.0,SSE,43.0,28.0,21.0,1016.6,1.0,25.7
AliceSprings,2009-04-03,WSW,4.0,SE,50.0,30.0,23.0,1018.1,1.0,25.5
AliceSprings,2009-04-04,SE,28.0,SE,43.0,22.0,26.0,1023.0,0.0,20.6
AliceSprings,2009-04-05,SE,26.0,SSE,44.0,24.0,34.0,1021.8,1.0,18.4
AliceSprings,2009-04-06,SE,30.0,ESE,50.0,28.0,36.0,1021.0,5.0,17.9
AliceSprings,2009-04-07,ESE,31.0,ESE,48.0,20.0,35.0,1022.2,6.0,18.0
AliceSprings,2009-04-08,E,17.0,ESE,33.0,19.0,20.0,1021.5,8.0,16.7
AliceSprings,2009-04-09,SSW,4.0,E,28.0,9.0,21.0,1018.8,1.0,19.4
AliceSprings,2009-04-11,ESE,13.0,E,35.0,15.0,30.0,1018.4,2.0,21.8
AliceSprings,2009-04-12,ENE,6.0,SE,44.0,19.0,27.0,1017.8,3.0,23.4
AliceSprings,2009-04-13,ESE,0.0,SSE,48.0,30.0,20.0,1016.9,1.0,23.1
AliceSprings,2009-04-14,ESE,0.0,E,39.0,20.0,31.0,1015.4,1.0,23.6
AliceSprings,2009-04-15,ESE,0.0,ESE,33.0,7.0,30.0,1015.0,2.0,25.8
AliceSprings,2009-04-16,SSE,17.0,ESE,41.0,9.0,26.0,1016.0,7.0,24.2
AliceSprings,2009-04-17,E,20.0,E,44.0,19.0,31.0,1016.6,7.0,22.1
AliceSprings,2009-04-18,ESE,26.0,ESE,41.0,17.0,40.0,1018.6,5.0,23.2
AliceSprings,2009-04-19,E,19.0,E,37.0,13.0,24.0,1017.5,3.0,21.4
AliceSprings,2009-04-20,E,9.0,E,30.0,9.0,28.0,1015.9,7.0,20.1
AliceSprings,2009-04-21,NW,2.0,ENE,28.0,15.0,26.0,1014.2,2.0,23.0
AliceSprings,2009-04-22,NE,17.0,NE,26.0,11.0,19.0,1014.9,1.0,24.4
AliceSprings,2009-04-23,N,36.5,W,61.0,35.0,16.0,1011.5,3.0,26.9
AliceSprings,2009-04-24,S,28.0,SSW,41.0,13.0,44.0,1017.8,1.0,15.2
AliceSprings,2009-04-25,SSE,13.0,S,30.0,15.0,50.0,1018.3,0.0,17.0
AliceSprings,2009-04-26,S,11.0,ESE,31.0,13.0,34.0,1018.8,0.0,19.2
AliceSprings,2009-04-27,ESE,13.0,E,33.0,20.0,47.0,1020.7,0.0,17.5
AliceSprings,2009-04-28,E,4.0,SE,35.0,19.0,44.0,1022.4,7.0,17.3
AliceSprings,2009-04-29,WNW,2.0,ESE,41.0,20.0,43.0,1021.5,2.0,15.0
AliceSprings,2009-04-30,ESE,0.0,ESE,33.0,20.0,42.0,1020.2,0.0,17.2
AliceSprings,2009-05-01,ESE,11.0,ESE,50.0,24.0,36.0,1022.3,1.0,16.8
AliceSprings,2009-05-02,ESE,11.0,SSE,48.0,30.0,35.0,1024.6,1.0,15.0
AliceSprings,2009-05-03,ESE,15.0,ESE,50.0,22.0,31.0,1025.0,0.0,15.1
AliceSprings,2009-05-04,E,13.0,ESE,46.0,24.0,34.0,1026.0,2.0,15.5
AliceSprings,2009-05-05,ESE,11.0,ESE,43.0,11.0,38.0,1026.1,1.0,14.0
AliceSprings,2009-05-06,SSW,9.0,SSE,44.0,24.0,34.0,1025.3,0.0,14.6
AliceSprings,2009-05-07,SE,11.0,ESE,48.0,24.0,38.0,1025.5,0.0,15.2
AliceSprings,2009-05-08,SE,20.0,SSE,41.0,22.0,43.0,1025.9,2.0,13.7
AliceSprings,2009-05-09,E,17.0,E,39.0,22.0,37.0,1024.1,1.0,13.5
AliceSprings,2009-05-10,E,4.0,ESE,37.0,19.0,36.0,1021.0,1.0,14.3
AliceSprings,2009-05-11,NW,7.0,S,37.0,22.0,42.0,1021.7,0.0,13.0
AliceSprings,2009-05-12,SW,4.0,ESE,37.0,20.0,44.0,1021.7,1.0,12.9
AliceSprings,2009-05-13,SW,6.0,SE,41.0,20.0,44.0,1020.4,1.0,12.6
AliceSprings,2009-05-14,ESE,0.0,ESE,48.0,26.0,39.0,1021.4,2.0,13.1
AliceSprings,2009-05-15,N,2.0,ESE,50.0,20.0,41.0,1022.9,1.0,13.1
AliceSprings,2009-05-16,SE,11.0,E,56.0,19.0,46.0,1022.4,7.0,12.7
AliceSprings,2009-05-17,N,4.0,ESE,30.0,15.0,54.0,1021.6,8.0,13.3
AliceSprings,2009-05-18,ENE,2.0,S,30.0,9.0,53.0,1017.6,3.0,16.1
AliceSprings,2009-05-19,WSW,7.0,S,37.0,17.0,54.0,1016.8,0.0,14.8
AliceSprings,2009-05-20,WSW,2.0,SE,37.0,20.0,54.0,1018.9,0.0,13.3
AliceSprings,2009-05-22,WNW,2.0,ENE,19.0,9.0,59.0,1017.9,1.0,13.4
AliceSprings,2009-05-23,NNW,20.0,NNW,31.0,15.0,41.0,1013.7,0.0,17.7
AliceSprings,2009-05-24,NNW,22.0,NNW,48.0,28.0,27.0,1012.4,1.0,21.2
AliceSprings,2009-05-25,SE,20.0,SE,33.0,17.0,48.0,1019.0,1.0,16.7
AliceSprings,2009-05-26,ESE,15.0,ESE,35.0,19.0,50.0,1020.6,7.0,13.8
AliceSprings,2009-05-27,ESE,20.0,E,37.0,20.0,55.0,1020.7,7.0,14.5
AliceSprings,2009-05-28,ESE,17.0,ESE,35.0,22.0,54.0,1021.4,7.0,14.0
AliceSprings,2009-05-29,E,24.0,E,37.0,17.0,39.0,1021.7,5.0,13.2
AliceSprings,2009-05-30,E,19.0,ENE,39.0,26.0,96.0,1022.8,8.0,8.4
AliceSprings,2009-05-31,E,13.0,ESE,22.0,13.0,95.0,1023.0,7.0,9.0
AliceSprings,2009-06-01,E,11.0,SE,24.0,13.0,92.0,1024.1,8.0,9.4
AliceSprings,2009-06-02,SE,7.0,ESE,20.0,9.0,90.0,1023.9,8.0,9.2
AliceSprings,2009-06-03,ESE,0.0,S,19.0,11.0,92.0,1022.4,1.0,9.0
AliceSprings,2009-06-04,ESE,0.0,ESE,20.0,7.0,92.0,1020.4,0.0,10.2
AliceSprings,2009-06-05,N,20.0,NW,41.0,26.0,44.0,1016.2,4.0,17.3
AliceSprings,2009-06-06,SW,15.0,SW,33.0,24.0,61.0,1018.4,1.0,13.2
AliceSprings,2009-06-07,WSW,9.0,SSW,33.0,13.0,74.0,1021.7,2.0,10.2
AliceSprings,2009-06-08,W,7.0,SW,24.0,9.0,63.0,1023.1,0.0,10.5
AliceSprings,2009-06-09,WNW,2.0,E,28.0,9.0,65.0,1025.3,0.0,10.3
AliceSprings,2009-06-10,ESE,0.0,SSE,33.0,13.0,79.0,1025.6,0.0,9.9
AliceSprings,2009-06-11,ESE,0.0,ENE,28.0,15.0,69.0,1024.3,0.0,8.5
AliceSprings,2009-06-12,N,17.0,NW,41.0,19.0,42.0,1020.2,1.0,14.2
AliceSprings,2009-06-13,ESE,0.0,W,44.0,9.0,31.0,1015.5,2.0,16.5
AliceSprings,2009-06-14,SSW,15.0,SW,33.0,13.0,44.0,1019.0,1.0,11.6
AliceSprings,2009-06-15,S,11.0,SSE,37.0,19.0,57.0,1022.7,1.0,10.8
AliceSprings,2009-06-16,WNW,2.0,SE,39.0,15.0,68.0,1024.2,5.0,9.1
AliceSprings,2009-06-17,ESE,17.0,SE,31.0,15.0,64.0,1025.7,7.0,12.1
AliceSprings,2009-06-18,ESE,0.0,ESE,31.0,17.0,61.0,1025.5,0.0,8.7
AliceSprings,2009-06-19,ESE,0.0,E,31.0,11.0,63.0,1022.3,0.0,8.1
AliceSprings,2009-06-20,ESE,0.0,WNW,24.0,4.0,47.0,1018.5,1.0,11.0
AliceSprings,2009-06-21,N,11.0,NW,31.0,19.0,27.0,1016.3,2.0,16.0
AliceSprings,2009-06-22,WSW,15.0,SSW,22.0,11.0,37.0,1017.9,1.0,14.9
AliceSprings,2009-06-23,NW,4.0,SSE,20.0,7.0,38.0,1019.4,0.0,13.9
AliceSprings,2009-06-24,WSW,2.0,NNW,20.0,9.0,44.0,1018.7,5.0,12.1
AliceSprings,2009-06-25,N,20.0,NNW,52.0,26.0,18.0,1014.3,5.0,19.7
AliceSprings,2009-06-26,W,17.0,SW,41.0,22.0,59.0,1013.3,1.0,16.8
AliceSprings,2009-06-27,W,7.0,W,26.0,13.0,58.0,1014.5,1.0,13.5
AliceSprings,2009-06-28,W,4.0,SW,31.0,9.0,41.0,1014.5,1.0,15.4
AliceSprings,2009-06-29,ESE,0.0,WNW,41.0,22.0,34.0,1014.3,2.0,17.9
AliceSprings,2009-06-30,NW,35.0,NW,57.0,35.0,28.0,1012.4,5.0,23.2
AliceSprings,2009-07-01,S,13.0,SE,28.0,11.0,47.0,1019.5,0.0,17.0
AliceSprings,2009-07-02,S,6.0,SSW,41.0,19.0,42.0,1023.1,0.0,12.2
AliceSprings,2009-07-03,SSW,6.0,ESE,33.0,17.0,41.0,1027.2,1.0,10.1
AliceSprings,2009-07-04,S,9.0,E,33.0,22.0,67.0,1025.8,6.0,10.2
AliceSprings,2009-07-05,ENE,9.0,E,30.0,9.0,73.0,1022.3,5.0,10.0
AliceSprings,2009-07-06,WNW,4.0,E,30.0,15.0,64.0,1021.1,0.0,10.3
AliceSprings,2009-07-07,ESE,0.0,ESE,31.0,17.0,63.0,1021.3,1.0,9.8
AliceSprings,2009-07-08,ESE,0.0,SE,35.0,19.0,63.0,1021.3,1.0,9.3
AliceSprings,2009-07-09,N,2.0,ESE,26.0,11.0,51.0,1021.9,2.0,10.3
AliceSprings,2009-07-10,ESE,0.0,N,33.0,13.0,31.0,1019.6,0.0,12.4
AliceSprings,2009-07-11,NNW,6.0,NNW,35.0,17.0,33.0,1015.3,1.0,17.9
AliceSprings,2009-07-12,W,7.0,NNW,48.0,28.0,48.0,1016.3,0.0,15.3
AliceSprings,2009-07-13,SSE,13.0,S,39.0,13.0,65.0,1019.3,7.0,13.5
AliceSprings,2009-07-14,WSW,13.0,SSW,33.0,17.0,49.0,1022.7,0.0,9.4
AliceSprings,2009-07-15,SSW,17.0,SSW,35.0,17.0,54.0,1023.2,1.0,9.4
AliceSprings,2009-07-16,ESE,0.0,ESE,22.0,6.0,62.0,1023.1,0.0,9.0
AliceSprings,2009-07-17,ESE,0.0,NNW,31.0,13.0,51.0,1022.2,0.0,10.7
AliceSprings,2009-07-18,NNW,2.0,WSW,24.0,11.0,37.0,1021.4,1.0,13.8
AliceSprings,2009-07-19,SE,2.0,NE,41.0,20.0,25.0,1021.1,0.0,15.4
AliceSprings,2009-07-20,NNW,17.0,NNW,46.0,24.0,15.0,1018.7,0.0,16.2
AliceSprings,2009-07-22,SW,13.0,SSW,35.0,15.0,33.0,1020.5,3.0,17.4
AliceSprings,2009-07-24,ESE,7.0,E,26.0,17.0,35.0,1024.6,0.0,11.1
AliceSprings,2009-07-25,N,20.0,NNW,30.0,13.0,22.0,1020.3,6.0,16.3
AliceSprings,2009-07-26,S,22.0,SSW,48.0,24.0,47.0,1023.9,1.0,13.7
AliceSprings,2009-07-27,SE,15.0,ESE,44.0,26.0,44.0,1026.7,3.0,11.4
AliceSprings,2009-07-28,SE,20.0,ESE,44.0,24.0,48.0,1028.5,2.0,9.5
AliceSprings,2009-07-29,ESE,11.0,ESE,56.0,24.0,47.0,1029.2,0.0,9.2
AliceSprings,2009-07-30,SSE,9.0,ESE,43.0,22.0,53.0,1029.1,0.0,9.1
AliceSprings,2009-07-31,ESE,9.0,ESE,44.0,20.0,50.0,1027.6,1.0,10.5
AliceSprings,2009-08-01,ESE,0.0,E,33.0,15.0,63.0,1027.1,0.0,9.6
AliceSprings,2009-08-02,WNW,6.0,ENE,31.0,13.0,53.0,1026.6,0.0,10.0
AliceSprings,2009-08-03,ESE,0.0,ESE,30.0,13.0,43.0,1025.5,0.0,10.0
AliceSprings,2009-08-04,ESE,0.0,ESE,33.0,13.0,38.0,1023.6,0.0,10.2
AliceSprings,2009-08-05,ESE,0.0,ENE,31.0,13.0,31.0,1022.0,0.0,11.6
AliceSprings,2009-08-06,N,6.0,W,28.0,11.0,14.0,1019.9,0.0,16.4
AliceSprings,2009-08-07,NW,6.0,E,35.0,13.0,13.0,1020.4,2.948453608247423,14.9
AliceSprings,2009-08-08,WNW,4.0,E,26.0,15.0,22.0,1020.6,0.0,14.3
AliceSprings,2009-08-09,ESE,0.0,WSW,33.0,22.0,21.0,1018.2,0.0,14.9
AliceSprings,2009-08-10,NNW,26.0,NNW,44.0,20.0,6.0,1015.7,0.0,21.6
AliceSprings,2009-08-11,WNW,20.0,NNW,56.0,20.0,5.0,1015.3,0.0,25.4
AliceSprings,2009-08-12,NNW,7.0,NW,37.0,31.0,13.0,1016.1,0.0,21.3
AliceSprings,2009-08-13,W,11.0,NW,48.0,26.0,12.0,1016.0,0.0,24.5
AliceSprings,2009-08-14,E,6.0,NNW,57.0,22.0,20.0,1017.6,1.0,23.1
AliceSprings,2009-08-15,NNW,24.0,N,56.0,30.0,22.0,1016.1,3.0,25.7
AliceSprings,2009-08-16,NW,20.0,NNW,50.0,22.0,17.0,1016.0,3.0,26.6
AliceSprings,2009-08-17,ESE,30.0,ESE,50.0,24.0,13.0,1023.8,1.0,17.1
AliceSprings,2009-08-18,ENE,13.0,ENE,37.0,11.0,16.0,1023.1,6.0,16.3
AliceSprings,2009-08-19,NNE,22.0,NNW,50.0,24.0,16.0,1020.9,0.0,24.3
AliceSprings,2009-08-20,NNW,6.0,SW,50.0,13.0,25.0,1019.5,0.0,21.7
AliceSprings,2009-08-21,N,7.0,NW,50.0,24.0,21.0,1014.3,0.0,24.8
AliceSprings,2009-08-22,NNW,9.0,NW,52.0,31.0,21.0,1013.2,0.0,25.8
AliceSprings,2009-08-23,WNW,9.0,NW,52.0,31.0,15.0,1013.3,0.0,26.2
AliceSprings,2009-08-24,SSE,11.0,S,28.0,7.0,34.0,1016.3,0.0,22.9
AliceSprings,2009-08-25,ESE,24.0,ESE,41.0,19.0,21.0,1018.7,4.0,19.3
AliceSprings,2009-08-26,WNW,6.0,E,35.0,11.0,85.0,1022.2,8.0,12.6
AliceSprings,2009-08-27,NNW,13.0,NNW,39.0,19.0,29.0,1017.0,8.0,19.6
AliceSprings,2009-08-28,NNW,22.0,NW,57.0,35.5,33.0,1013.4,6.0,24.4
AliceSprings,2009-08-29,N,7.0,NW,63.0,35.5,32.0,1013.6,5.0,24.8
AliceSprings,2009-08-30,SE,31.0,ESE,52.0,30.0,46.0,1021.7,6.0,17.5
AliceSprings,2009-08-31,ESE,24.0,ESE,39.0,19.0,29.0,1024.3,4.0,13.6
AliceSprings,2009-09-01,E,22.0,E,37.0,15.0,23.0,1019.9,4.0,16.5
AliceSprings,2009-09-02,N,30.0,NNW,59.0,33.0,17.0,1013.9,4.0,23.5
AliceSprings,2009-09-03,WSW,13.0,WSW,44.0,15.0,72.0,1014.6,2.0,22.5
AliceSprings,2009-09-04,SE,20.0,E,35.0,15.0,35.0,1019.0,1.0,17.4
AliceSprings,2009-09-05,ENE,11.0,NW,44.0,19.0,28.0,1017.6,0.0,17.7
AliceSprings,2009-09-06,NNW,20.0,NW,56.0,35.5,26.0,1012.9,4.0,25.0
AliceSprings,2009-09-07,SSE,26.0,S,39.0,13.0,16.0,1018.1,0.0,18.2
AliceSprings,2009-09-08,ESE,13.0,ESE,30.0,11.0,26.0,1019.8,0.0,15.8
AliceSprings,2009-09-09,NNE,13.0,SSW,30.0,15.0,21.0,1017.9,0.0,18.8
